姓名,姓氏,字辈,性别,排序,出生日期,逝世日期,是否离世,籍贯,职业,父亲,母亲,配偶,是否入赘,是否招夫养子,生平简介,突出事迹
子07089,孔,子,男,66,-388,-308,是,河南,商,子06084,,,,,,
子07090,孔,子,男,80,-386,-326,是,山东,学者,子06066,,,,,,
子07091,孔,子,男,8,-390,-317,是,江苏,商,子06037,,,,,,
子07092,孔,子,男,7,-386,-302,是,江苏,农,子06038,,,,,,
子07093,孔,子,男,45,-387,-325,是,安徽,士,子06051,,,,,,
子07094,孔,子,男,9,-394,-306,是,安徽,学者,子06089,,,,,,
子07095,孔,子,男,11,-389,-321,是,山东,工,子06038,,,,,,
子07096,孔,子,男,54,-394,-331,是,安徽,儒,子06020,,,,,,
子07097,孔,子,男,83,-394,-304,是,曲阜,工,子06144,,,,,,
子07098,孔,子,男,67,-378,-308,是,浙江,士,子06054,,,,,,
子07099,孔,子,男,3,-386,-311,是,安徽,官员,子06046,,,,,,
子07100,孔,子,男,16,-378,-311,是,江苏,官员,子06036,,,,,,
子07101,孔,子,男,66,-380,-305,是,浙江,农,子06003,,,,,,
子07102,孔,子,男,97,-391,-305,是,安徽,学者,子06067,,,,,,
子07103,孔,子,男,43,-382,-297,是,江苏,儒,子06037,,,,,,
子07104,孔,子,男,4,-387,-300,是,浙江,工,子06042,,,,,,
子07105,孔,子,男,74,-383,-299,是,河南,工,子06131,,,,,,
子07106,孔,子,男,38,-380,-295,是,曲阜,士,子06086,,,,,,
子07107,孔,子,男,35,-381,-302,是,江苏,农,子06112,,,,,,
子07108,孔,子,男,10,-394,-305,是,河南,士,子06096,,,,,,
子07109,孔,子,男,77,-381,-311,是,山东,士,子06041,,,,,,
子07110,孔,子,男,61,-374,-287,是,浙江,工,子06101,,,,,,
子07111,孔,子,男,36,-388,-307,是,安徽,士,子06090,,,,,,
子07112,孔,子,男,41,-383,-311,是,安徽,学者,子06120,,,,,,
子07113,孔,子,男,67,-384,-320,是,江苏,农,子06145,,,,,,
子07114,孔,子,男,32,-393,-307,是,曲阜,学者,子06038,,,,,,
子07115,孔,子,男,6,-379,-303,是,江苏,官员,子06106,,,,,,
子07116,孔,子,男,15,-381,-302,是,河南,士,子06010,,,,,,
子07117,孔,子,男,87,-379,-291,是,江苏,农,子06025,,,,,,
子07118,孔,子,男,13,-392,-329,是,江苏,儒,子06096,,,,,,
子07119,孔,子,男,72,-376,-303,是,浙江,农,子06028,,,,,,
子07120,孔,子,男,35,-378,-299,是,曲阜,儒,子06027,,,,,,
子07121,孔,子,男,73,-382,-316,是,河南,学者,子06084,,,,,,
子07122,孔,子,男,32,-393,-321,是,山东,商,子06074,,,,,,
子07123,孔,子,男,80,-382,-309,是,江苏,农,子06119,,,,,,
子07124,孔,子,男,28,-390,-301,是,曲阜,农,子06003,,,,,,
子07125,孔,子,男,86,-386,-303,是,浙江,士,子06047,,,,,,
子07126,孔,子,男,62,-379,-304,是,江苏,学者,子06083,,,,,,
子07127,孔,子,男,51,-381,-304,是,安徽,工,子06106,,,,,,
子07128,孔,子,男,78,-392,-332,是,浙江,儒,子06139,,,,,,
子07129,孔,子,男,22,-391,-315,是,浙江,工,子06091,,,,,,
子07130,孔,子,男,22,-374,-313,是,浙江,农,子06026,,,,,,
子07131,孔,子,男,83,-394,-332,是,山东,工,子06091,,,,,,
子07132,孔,子,男,95,-383,-312,是,曲阜,儒,子06146,,,,,,
子07133,孔,子,男,34,-376,-298,是,安徽,儒,子06046,,,,,,
子07134,孔,子,男,32,-393,-330,是,山东,学者,子06136,,,,,,
子07135,孔,子,男,2,-387,-327,是,山东,农,子06051,,,,,,
子07136,孔,子,男,6,-381,-304,是,江苏,学者,子06107,,,,,,
子07137,孔,子,男,7,-377,-299,是,浙江,商,子06071,,,,,,
子07138,孔,子,男,99,-383,-304,是,安徽,农,子06006,,,,,,
子07139,孔,子,男,52,-375,-288,是,曲阜,工,子06022,,,,,,
子07140,孔,子,男,90,-388,-311,是,曲阜,工,子06117,,,,,,
子07141,孔,子,男,69,-379,-306,是,江苏,士,子06036,,,,,,
子07142,孔,子,男,68,-392,-328,是,安徽,官员,子06091,,,,,,
子07143,孔,子,男,26,-389,-312,是,江苏,工,子06052,,,,,,
子07144,孔,子,男,81,-383,-315,是,曲阜,士,子06027,,,,,,
子07145,孔,子,男,36,-390,-323,是,河南,农,子06011,,,,,,
子07146,孔,子,男,88,-386,-322,是,河南,学者,子06125,,,,,,
子07147,孔,子,男,3,-386,-316,是,安徽,儒,子06098,,,,,,
子07148,孔,子,男,64,-387,-308,是,安徽,官员,子06007,,,,,,
子07149,孔,子,男,3,-379,-309,是,曲阜,工,子06005,,,,,,
子08000,孔,子,男,20,-358,-286,是,山东,工,子07136,,,,,,
子08001,孔,子,男,46,-357,-297,是,安徽,儒,子07007,,,,,,
子08002,孔,子,男,9,-347,-260,是,曲阜,士,子07138,,,,,,
子08003,孔,子,男,56,-346,-277,是,江苏,儒,子07113,,,,,,
子08004,孔,子,男,87,-362,-292,是,曲阜,商,子07081,,,,,,
子08005,孔,子,男,54,-357,-272,是,河南,学者,子07040,,,,,,
子08006,孔,子,男,75,-354,-293,是,江苏,学者,子07146,,,,,,
子08007,孔,子,男,45,-354,-281,是,河南,学者,子07063,,,,,,
子08008,孔,子,男,72,-361,-297,是,曲阜,商,子07061,,,,,,
子08009,孔,子,男,32,-351,-286,是,安徽,士,子07123,,,,,,
子08010,孔,子,男,77,-366,-299,是,江苏,工,子07122,,,,,,
子08011,孔,子,男,37,-357,-269,是,江苏,官员,子07135,,,,,,
子08012,孔,子,男,6,-363,-293,是,山东,工,子07084,,,,,,
子08013,孔,子,男,47,-347,-276,是,山东,农,子07139,,,,,,
子08014,孔,子,男,90,-346,-271,是,山东,商,子07070,,,,,,
子08015,孔,子,男,24,-346,-263,是,曲阜,儒,子07023,,,,,,
子08016,孔,子,男,94,-365,-292,是,山东,儒,子07086,,,,,,
子08017,孔,子,男,59,-353,-269,是,山东,工,子07123,,,,,,
子08018,孔,子,男,55,-350,-275,是,河南,官员,子07060,,,,,,
子08019,孔,子,男,25,-350,-287,是,曲阜,工,子07139,,,,,,
子08020,孔,子,男,1,-347,-271,是,浙江,儒,子07014,,,,,,
子08021,孔,子,男,45,-363,-274,是,江苏,工,子07075,,,,,,
子08022,孔,子,男,65,-350,-270,是,安徽,官员,子07142,,,,,,
子08023,孔,子,男,72,-347,-271,是,浙江,学者,子07104,,,,,,
子08024,孔,子,男,85,-361,-282,是,江苏,儒,子07102,,,,,,
子08025,孔,子,男,13,-353,-276,是,河南,工,子07040,,,,,,
子08026,孔,子,男,95,-349,-271,是,浙江,儒,子07015,,,,,,
子08027,孔,子,男,47,-353,-270,是,山东,儒,子07145,,,,,,
子08028,孔,子,男,34,-363,-287,是,河南,儒,子07089,,,,,,
子08029,孔,子,男,42,-361,-295,是,浙江,学者,子07148,,,,,,
子08030,孔,子,男,65,-365,-277,是,浙江,工,子07030,,,,,,
子08031,孔,子,男,3,-362,-293,是,山东,学者,子07149,,,,,,
子08032,孔,子,男,22,-352,-284,是,山东,农,子07117,,,,,,
子08033,孔,子,男,72,-349,-274,是,曲阜,士,子07124,,,,,,
子08034,孔,子,男,86,-362,-272,是,安徽,商,子07017,,,,,,
子08035,孔,子,男,36,-354,-271,是,河南,官员,子07105,,,,,,
子08036,孔,子,男,21,-350,-260,是,江苏,商,子07058,,,,,,
子08037,孔,子,男,18,-357,-292,是,曲阜,农,子07098,,,,,,
子08038,孔,子,男,83,-359,-292,是,浙江,工,子07053,,,,,,
子08039,孔,子,男,89,-355,-287,是,安徽,学者,子07040,,,,,,
子08040,孔,子,男,60,-360,-290,是,江苏,商,子07037,,,,,,
子08041,孔,子,男,29,-362,-279,是,安徽,农,子07015,,,,,,
子08042,孔,子,男,70,-350,-275,是,浙江,官员,孔腾,,,,,,
子08043,孔,子,男,4,-347,-287,是,河南,商,子07035,,,,,,
子08044,孔,子,男,69,-356,-273,是,浙江,商,子07071,,,,,,
子08045,孔,子,男,94,-350,-261,是,安徽,官员,子07040,,,,,,
子08046,孔,子,男,63,-355,-268,是,曲阜,商,子07101,,,,,,
子08047,孔,子,男,84,-349,-266,是,曲阜,学者,子07023,,,,,,
子08048,孔,子,男,26,-356,-281,是,河南,农,子07035,,,,,,
子08049,孔,子,男,26,-354,-266,是,安徽,官员,子07076,,,,,,
子08050,孔,子,男,84,-355,-294,是,江苏,儒,子07129,,,,,,
子08051,孔,子,男,14,-346,-280,是,河南,儒,子07032,,,,,,
子08052,孔,子,男,60,-354,-272,是,曲阜,士,子07066,,,,,,
子08053,孔,子,男,75,-351,-284,是,山东,农,子07056,,,,,,
子08054,孔,子,男,37,-360,-271,是,山东,儒,子07015,,,,,,
子08055,孔,子,男,34,-357,-286,是,江苏,工,孔腾,,,,,,
子08056,孔,子,男,73,-350,-282,是,浙江,工,子07141,,,,,,
子08057,孔,子,男,34,-356,-289,是,江苏,学者,子07122,,,,,,
子08058,孔,子,男,73,-348,-267,是,浙江,士,子07056,,,,,,
子08059,孔,子,男,68,-361,-290,是,河南,士,子07038,,,,,,
子08060,孔,子,男,36,-347,-281,是,曲阜,工,子07092,,,,,,
子08061,孔,子,男,42,-364,-298,是,江苏,学者,子07032,,,,,,
子08062,孔,子,男,80,-360,-280,是,浙江,儒,子07141,,,,,,
子08063,孔,子,男,30,-358,-273,是,河南,学者,子07064,,,,,,
子08064,孔,子,男,84,-354,-266,是,曲阜,工,子07127,,,,,,
子08065,孔,子,男,74,-364,-280,是,安徽,工,子07113,,,,,,
子08066,孔,子,男,91,-347,-262,是,安徽,儒,子07035,,,,,,
子08067,孔,子,男,56,-365,-275,是,曲阜,儒,子07101,,,,,,
子08068,孔,子,男,17,-349,-265,是,山东,儒,子07005,,,,,,
子08069,孔,子,男,37,-347,-269,是,山东,商,子07124,,,,,,
子08070,孔,子,男,50,-356,-268,是,山东,工,子07103,,,,,,
子08071,孔,子,男,70,-354,-290,是,江苏,农,子07145,,,,,,
子08072,孔,子,男,99,-353,-268,是,江苏,商,子07050,,,,,,
子08073,孔,子,男,96,-346,-279,是,浙江,农,子07007,,,,,,
子08074,孔,子,男,37,-360,-297,是,河南,学者,子07090,,,,,,
子08075,孔,子,男,51,-347,-268,是,山东,商,子07048,,,,,,
子08076,孔,子,男,30,-366,-284,是,曲阜,官员,子07146,,,,,,
子08077,孔,子,男,83,-351,-270,是,曲阜,农,子07004,,,,,,
子08078,孔,子,男,2,-353,-274,是,江苏,工,子07069,,,,,,
子08079,孔,子,男,69,-359,-283,是,江苏,士,子07099,,,,,,
子08080,孔,子,男,32,-363,-298,是,浙江,学者,子07132,,,,,,
子08081,孔,子,男,22,-361,-286,是,江苏,儒,子07065,,,,,,
子08082,孔,子,男,25,-363,-303,是,安徽,儒,子07019,,,,,,
子08083,孔,子,男,87,-363,-281,是,河南,农,子07033,,,,,,
子08084,孔,子,男,39,-361,-300,是,河南,商,子07113,,,,,,
子08085,孔,子,男,1,-349,-261,是,浙江,农,子07085,,,,,,
子08086,孔,子,男,19,-351,-267,是,浙江,学者,子07142,,,,,,
子08087,孔,子,男,68,-353,-293,是,山东,农,子07102,,,,,,
子08088,孔,子,男,19,-353,-278,是,江苏,儒,子07069,,,,,,
子08089,孔,子,男,23,-361,-286,是,山东,官员,子07095,,,,,,
子08090,孔,子,男,1,-348,-275,是,浙江,商,子07118,,,,,,
子08091,孔,子,男,6,-358,-282,是,曲阜,官员,子07129,,,,,,
子08092,孔,子,男,50,-353,-264,是,河南,官员,子07141,,,,,,
子08093,孔,子,男,1,-352,-273,是,江苏,商,子07005,,,,,,
子08094,孔,子,男,97,-349,-282,是,安徽,商,子07081,,,,,,
子08095,孔,子,男,55,-346,-284,是,山东,学者,子07055,,,,,,
子08096,孔,子,男,8,-353,-275,是,安徽,士,子07055,,,,,,
子08097,孔,子,男,8,-361,-300,是,浙江,农,子07110,,,,,,
子08098,孔,子,男,24,-356,-273,是,山东,工,子07121,,,,,,
子08099,孔,子,男,76,-361,-296,是,浙江,儒,子07002,,,,,,
子08100,孔,子,男,41,-346,-279,是,江苏,工,子07035,,,,,,
子08101,孔,子,男,41,-352,-289,是,曲阜,士,子07054,,,,,,
子08102,孔,子,男,23,-363,-274,是,山东,工,子07133,,,,,,
子08103,孔,子,男,34,-365,-288,是,江苏,官员,子07124,,,,,,
子08104,孔,子,男,95,-351,-265,是,河南,农,子07107,,,,,,
子08105,孔,子,男,90,-351,-261,是,江苏,学者,子07071,,,,,,
子08106,孔,子,男,38,-347,-284,是,曲阜,官员,子07091,,,,,,
子08107,孔,子,男,4,-348,-277,是,河南,农,子07048,,,,,,
子08108,孔,子,男,5,-361,-296,是,河南,工,子07125,,,,,,
子08109,孔,子,男,4,-358,-293,是,山东,农,子07009,,,,,,
子08110,孔,子,男,93,-356,-294,是,曲阜,农,子07011,,,,,,
子08111,孔,子,男,29,-357,-279,是,浙江,商,子07075,,,,,,
子08112,孔,子,男,31,-348,-273,是,山东,儒,子07143,,,,,,
子08113,孔,子,男,6,-360,-271,是,安徽,学者,子07115,,,,,,
子08114,孔,子,男,76,-366,-294,是,河南,工,子07054,,,,,,
子08115,孔,子,男,44,-361,-294,是,安徽,儒,子07023,,,,,,
子08116,孔,子,男,16,-354,-294,是,曲阜,商,子07082,,,,,,
子08117,孔,子,男,47,-356,-291,是,河南,学者,子07041,,,,,,
子08118,孔,子,男,46,-365,-299,是,江苏,士,子07039,,,,,,
子08119,孔,子,男,43,-352,-286,是,浙江,儒,子07130,,,,,,
子08120,孔,子,男,35,-361,-291,是,曲阜,工,子07073,,,,,,
子08121,孔,子,男,91,-347,-276,是,安徽,儒,子07009,,,,,,
子08122,孔,子,男,97,-351,-262,是,曲阜,商,子07089,,,,,,
子08123,孔,子,男,97,-366,-297,是,河南,工,子07091,,,,,,
子08124,孔,子,男,30,-365,-304,是,河南,学者,子07096,,,,,,
子08125,孔,子,男,73,-366,-287,是,安徽,商,子07080,,,,,,
子08126,孔,子,男,64,-347,-264,是,河南,工,子07017,,,,,,
子08127,孔,子,男,28,-346,-274,是,安徽,商,子07134,,,,,,
子08128,孔,子,男,93,-365,-284,是,浙江,农,子07020,,,,,,
子08129,孔,子,男,60,-351,-287,是,安徽,农,子07099,,,,,,
子08130,孔,子,男,91,-353,-270,是,江苏,士,子07115,,,,,,
子08131,孔,子,男,14,-349,-289,是,浙江,学者,子07122,,,,,,
子08132,孔,子,男,41,-349,-272,是,江苏,农,子07121,,,,,,
子08133,孔,子,男,53,-360,-300,是,山东,学者,子07022,,,,,,
子08134,孔,子,男,21,-356,-278,是,浙江,士,子07091,,,,,,
子08135,孔,子,男,22,-358,-273,是,江苏,农,子07031,,,,,,
子08136,孔,子,男,99,-363,-298,是,曲阜,商,子07012,,,,,,
子08137,孔,子,男,1,-364,-286,是,安徽,儒,子07032,,,,,,
子08138,孔,子,男,48,-350,-286,是,浙江,学者,子07008,,,,,,
子08139,孔,子,男,56,-350,-278,是,山东,商,子07052,,,,,,
子08140,孔,子,男,85,-355,-282,是,安徽,儒,子07130,,,,,,
子08141,孔,子,男,51,-348,-276,是,安徽,学者,子07121,,,,,,
子08142,孔,子,男,5,-354,-283,是,浙江,官员,子07061,,,,,,
子08143,孔,子,男,64,-363,-282,是,曲阜,士,子07098,,,,,,
子08144,孔,子,男,32,-361,-290,是,曲阜,工,子07065,,,,,,
子08145,孔,子,男,4,-360,-274,是,浙江,商,子07039,,,,,,
子08146,孔,子,男,73,-349,-266,是,山东,工,子07012,,,,,,
子08147,孔,子,男,98,-354,-275,是,安徽,工,子07146,,,,,,
子08148,孔,子,男,76,-349,-280,是,浙江,儒,子07086,,,,,,
子08149,孔,子,男,78,-363,-278,是,河南,儒,子07038,,,,,,
子09000,孔,子,男,92,-331,-244,是,河南,官员,子08092,,,,,,
子09001,孔,子,男,11,-336,-251,是,浙江,学者,子08048,,,,,,
子09002,孔,子,男,47,-319,-231,是,河南,官员,子08044,,,,,,
子09003,孔,子,男,27,-323,-237,是,安徽,农,子08077,,,,,,
子09004,孔,子,男,78,-330,-240,是,江苏,商,子08097,,,,,,
子09005,孔,子,男,79,-320,-249,是,浙江,官员,子08014,,,,,,
子09006,孔,子,男,92,-337,-253,是,曲阜,农,子08013,,,,,,
子09007,孔,子,男,16,-338,-277,是,安徽,学者,子08092,,,,,,
子09008,孔,子,男,80,-334,-272,是,山东,官员,子08030,,,,,,
子09009,孔,子,男,7,-321,-253,是,安徽,农,子08103,,,,,,
子09010,孔,子,男,23,-323,-252,是,山东,农,子08055,,,,,,
子09011,孔,子,男,23,-322,-243,是,浙江,学者,子08110,,,,,,
子09012,孔,子,男,89,-337,-254,是,河南,官员,子08020,,,,,,
子09013,孔,子,男,97,-330,-262,是,河南,官员,子08080,,,,,,
子09014,孔,子,男,42,-332,-250,是,浙江,农,子08136,,,,,,
子09015,孔,子,男,71,-329,-262,是,江苏,官员,子08144,,,,,,
子09016,孔,子,男,32,-323,-256,是,安徽,官员,子08035,,,,,,
子09017,孔,子,男,82,-324,-234,是,安徽,官员,子08110,,,,,,
子09018,孔,子,男,7,-325,-243,是,安徽,士,子08055,,,,,,
子09019,孔,子,男,10,-333,-268,是,浙江,儒,子08127,,,,,,
子09020,孔,子,男,61,-321,-235,是,河南,工,子08048,,,,,,
子09021,孔,子,男,22,-335,-265,是,河南,工,子08007,,,,,,
子09022,孔,子,男,40,-323,-240,是,浙江,工,子08029,,,,,,
子09023,孔,子,男,53,-335,-249,是,安徽,学者,子08116,,,,,,
子09024,孔,子,男,4,-321,-259,是,浙江,官员,子08119,,,,,,
子09025,孔,子,男,85,-329,-258,是,江苏,官员,子08122,,,,,,
子09026,孔,子,男,45,-319,-255,是,曲阜,商,子08059,,,,,,
子09027,孔,子,男,36,-331,-269,是,山东,官员,子08110,,,,,,
子09028,孔,子,男,78,-318,-250,是,浙江,官员,子08149,,,,,,
子09029,孔,子,男,45,-326,-237,是,山东,工,子08093,,,,,,
子09030,孔,子,男,27,-320,-241,是,曲阜,商,子08019,,,,,,
子09031,孔,子,男,46,-323,-262,是,曲阜,士,子08017,,,,,,
子09032,孔,子,男,16,-325,-262,是,曲阜,官员,子08131,,,,,,
子09033,孔,子,男,5,-321,-257,是,浙江,官员,子08093,,,,,,
子09034,孔,子,男,83,-326,-253,是,安徽,农,子08116,,,,,,
子09035,孔,子,男,21,-328,-256,是,山东,官员,子08050,,,,,,
子09036,孔,子,男,40,-323,-255,是,山东,官员,子08015,,,,,,
子09037,孔,子,男,5,-333,-248,是,河南,商,子08083,,,,,,
子09038,孔,子,男,50,-333,-243,是,浙江,儒,子08023,,,,,,
子09039,孔,子,男,29,-326,-264,是,安徽,士,子08098,,,,,,
子09040,孔,子,男,30,-328,-263,是,河南,商,孔忠,,,,,,
子09041,孔,子,男,74,-325,-249,是,山东,儒,子08069,,,,,,
子09042,孔,子,男,72,-336,-261,是,安徽,儒,子08022,,,,,,
子09043,孔,子,男,48,-327,-245,是,浙江,士,子08101,,,,,,
子09044,孔,子,男,47,-338,-271,是,浙江,官员,子08009,,,,,,
子09045,孔,子,男,85,-338,-275,是,山东,工,子08057,,,,,,
子09046,孔,子,男,77,-328,-264,是,河南,官员,子08082,,,,,,
子09047,孔,子,男,56,-330,-247,是,安徽,学者,子08037,,,,,,
子09048,孔,子,男,78,-326,-237,是,曲阜,儒,子08024,,,,,,
子09049,孔,子,男,63,-330,-261,是,安徽,官员,子08021,,,,,,
子09050,孔,子,男,63,-328,-258,是,安徽,商,子08097,,,,,,
子09051,孔,子,男,2,-333,-251,是,山东,儒,子08075,,,,,,
子09052,孔,子,男,69,-332,-244,是,江苏,官员,子08120,,,,,,
子09053,孔,子,男,16,-334,-255,是,河南,官员,子08070,,,,,,
子09054,孔,子,男,18,-334,-257,是,曲阜,工,子08003,,,,,,
子09055,孔,子,男,71,-338,-251,是,浙江,商,子08106,,,,,,
子09056,孔,子,男,48,-327,-256,是,安徽,士,子08088,,,,,,
子09057,孔,子,男,9,-334,-262,是,山东,工,子08138,,,,,,
子09058,孔,子,男,65,-318,-229,是,山东,农,子08109,,,,,,
子09059,孔,子,男,9,-327,-266,是,曲阜,儒,子08021,,,,,,
子09060,孔,子,男,17,-327,-262,是,山东,士,子08022,,,,,,
子09061,孔,子,男,95,-338,-278,是,河南,儒,子08073,,,,,,
子09062,孔,子,男,53,-335,-268,是,山东,工,子08045,,,,,,
子09063,孔,子,男,85,-323,-234,是,浙江,儒,子08001,,,,,,
子09064,孔,子,男,94,-332,-256,是,山东,官员,子08035,,,,,,
子09065,孔,子,男,64,-337,-249,是,河南,学者,子08008,,,,,,
子09066,孔,子,男,82,-336,-261,是,河南,官员,子08040,,,,,,
子09067,孔,子,男,69,-332,-245,是,河南,农,子08082,,,,,,
子09068,孔,子,男,100,-336,-261,是,浙江,农,子08002,,,,,,
子09069,孔,子,男,87,-328,-268,是,安徽,学者,子08134,,,,,,
子09070,孔,子,男,63,-319,-242,是,河南,儒,子08033,,,,,,
子09071,孔,子,男,71,-318,-228,是,浙江,商,子08118,,,,,,
子09072,孔,子,男,49,-337,-259,是,浙江,农,子08061,,,,,,
子09073,孔,子,男,66,-329,-256,是,安徽,士,子08134,,,,,,
子09074,孔,子,男,38,-322,-253,是,安徽,士,子08034,,,,,,
子09075,孔,子,男,91,-325,-256,是,安徽,农,子08021,,,,,,
子09076,孔,子,男,46,-338,-250,是,曲阜,学者,子08110,,,,,,
子09077,孔,子,男,14,-324,-261,是,江苏,士,子08120,,,,,,
子09078,孔,子,男,58,-332,-272,是,浙江,学者,子08061,,,,,,
子09079,孔,子,男,7,-338,-269,是,安徽,学者,子08020,,,,,,
子09080,孔,子,男,95,-325,-242,是,安徽,儒,子08104,,,,,,
子09081,孔,子,男,83,-335,-275,是,山东,农,子08067,,,,,,
子09082,孔,子,男,6,-320,-245,是,山东,商,子08109,,,,,,
子09083,孔,子,男,88,-321,-251,是,浙江,学者,子08113,,,,,,
子09084,孔,子,男,11,-333,-264,是,山东,农,孔忠,,,,,,
子09085,孔,子,男,55,-318,-231,是,安徽,儒,子08049,,,,,,
子09086,孔,子,男,90,-332,-266,是,安徽,士,子08029,,,,,,
子09087,孔,子,男,16,-330,-248,是,曲阜,学者,子08088,,,,,,
子09088,孔,子,男,6,-332,-258,是,河南,儒,子08072,,,,,,
子09089,孔,子,男,68,-321,-246,是,安徽,农,子08121,,,,,,
子09090,孔,子,男,86,-329,-250,是,河南,官员,子08063,,,,,,
子09091,孔,子,男,18,-321,-237,是,山东,工,子08083,,,,,,
子09092,孔,子,男,66,-335,-248,是,山东,儒,子08128,,,,,,
子09093,孔,子,男,15,-328,-266,是,江苏,农,子08026,,,,,,
子09094,孔,子,男,45,-321,-236,是,曲阜,官员,子08019,,,,,,
子09095,孔,子,男,12,-323,-239,是,山东,儒,子08011,,,,,,
子09096,孔,子,男,54,-334,-247,是,河南,工,子08141,,,,,,
子09097,孔,子,男,87,-321,-254,是,浙江,官员,子08019,,,,,,
子09098,孔,子,男,80,-325,-250,是,山东,士,子08135,,,,,,
子09099,孔,子,男,23,-321,-233,是,浙江,儒,子08074,,,,,,
子09100,孔,子,男,96,-321,-244,是,河南,士,子08137,,,,,,
子09101,孔,子,男,20,-326,-247,是,江苏,工,子08064,,,,,,
子09102,孔,子,男,45,-321,-232,是,曲阜,儒,子08126,,,,,,
子09103,孔,子,男,35,-326,-242,是,浙江,士,子08066,,,,,,
子09104,孔,子,男,25,-333,-245,是,曲阜,农,子08023,,,,,,
子09105,孔,子,男,90,-323,-243,是,浙江,官员,子08018,,,,,,
子09106,孔,子,男,9,-333,-263,是,浙江,士,子08106,,,,,,
子09107,孔,子,男,29,-338,-278,是,山东,儒,子08052,,,,,,
子09108,孔,子,男,88,-325,-261,是,河南,儒,子08125,,,,,,
子09109,孔,子,男,89,-328,-254,是,浙江,士,子08128,,,,,,
子09110,孔,子,男,68,-333,-243,是,河南,官员,子08015,,,,,,
子09111,孔,子,男,75,-325,-245,是,曲阜,农,子08011,,,,,,
子09112,孔,子,男,6,-324,-242,是,安徽,工,子08147,,,,,,
子09113,孔,子,男,2,-321,-237,是,浙江,商,子08123,,,,,,
子09114,孔,子,男,17,-335,-269,是,浙江,学者,子08090,,,,,,
子09115,孔,子,男,30,-330,-240,是,河南,学者,子08082,,,,,,
子09116,孔,子,男,87,-322,-251,是,江苏,学者,子08147,,,,,,
子09117,孔,子,男,35,-337,-276,是,山东,商,子08005,,,,,,
子09118,孔,子,男,49,-322,-259,是,安徽,农,子08134,,,,,,
子09119,孔,子,男,86,-319,-236,是,安徽,士,子08019,,,,,,
子09120,孔,子,男,45,-331,-242,是,曲阜,官员,子08127,,,,,,
子09121,孔,子,男,40,-319,-235,是,河南,官员,子08125,,,,,,
子09122,孔,子,男,98,-327,-254,是,山东,工,子08033,,,,,,
子09123,孔,子,男,22,-329,-262,是,安徽,农,子08110,,,,,,
子09124,孔,子,男,31,-322,-252,是,安徽,商,子08085,,,,,,
子09125,孔,子,男,55,-337,-274,是,河南,农,子08126,,,,,,
子09126,孔,子,男,64,-336,-267,是,山东,商,子08044,,,,,,
子09127,孔,子,男,39,-328,-239,是,河南,商,子08033,,,,,,
子09128,孔,子,男,25,-334,-252,是,安徽,儒,子08143,,,,,,
子09129,孔,子,男,98,-338,-261,是,山东,农,子08048,,,,,,
子09130,孔,子,男,65,-318,-249,是,山东,儒,子08053,,,,,,
子09131,孔,子,男,58,-319,-241,是,河南,官员,子08096,,,,,,
子09132,孔,子,男,66,-325,-238,是,江苏,商,子08031,,,,,,
子09133,孔,子,男,22,-327,-242,是,河南,儒,子08096,,,,,,
子09134,孔,子,男,64,-337,-254,是,浙江,学者,子08000,,,,,,
子09135,孔,子,男,48,-335,-245,是,浙江,士,子08121,,,,,,
子09136,孔,子,男,71,-333,-266,是,江苏,儒,子08069,,,,,,
子09137,孔,子,男,31,-335,-270,是,安徽,工,子08005,,,,,,
子09138,孔,子,男,16,-337,-274,是,山东,学者,子08044,,,,,,
子09139,孔,子,男,78,-336,-269,是,安徽,儒,子08026,,,,,,
子09140,孔,子,男,100,-318,-257,是,安徽,儒,子08072,,,,,,
子09141,孔,子,男,66,-338,-265,是,河南,儒,子08071,,,,,,
子09142,孔,子,男,86,-321,-258,是,浙江,官员,子08124,,,,,,
子09143,孔,子,男,35,-330,-267,是,山东,学者,子08022,,,,,,
子09144,孔,子,男,83,-335,-255,是,江苏,士,子08135,,,,,,
子09145,孔,子,男,62,-324,-237,是,安徽,商,子08090,,,,,,
子09146,孔,子,男,27,-319,-241,是,安徽,学者,子08051,,,,,,
子09147,孔,子,男,18,-335,-253,是,山东,工,子08141,,,,,,
子09148,孔,子,男,47,-326,-246,是,浙江,商,子08075,,,,,,
子09149,孔,子,男,67,-320,-245,是,浙江,儒,子08017,,,,,,
子10000,孔,子,男,29,-291,-204,是,浙江,工,子09050,,,,,,
子10001,孔,子,男,48,-293,-224,是,河南,商,子09076,,,,,,
子10002,孔,子,男,18,-294,-213,是,浙江,学者,子09044,,,,,,
子10003,孔,子,男,98,-292,-230,是,山东,学者,子09022,,,,,,
子10004,孔,子,男,30,-302,-213,是,安徽,农,子09121,,,,,,
子10005,孔,子,男,14,-294,-224,是,安徽,农,子09028,,,,,,
子10006,孔,子,男,86,-290,-221,是,江苏,官员,子09068,,,,,,
子10007,孔,子,男,67,-298,-233,是,山东,商,子09016,,,,,,
子10008,孔,子,男,38,-290,-230,是,江苏,士,子09052,,,,,,
子10009,孔,子,男,96,-298,-227,是,浙江,士,子09041,,,,,,
子10010,孔,子,男,98,-305,-236,是,曲阜,商,子09125,,,,,,
子10011,孔,子,男,98,-294,-214,是,河南,商,子09088,,,,,,
